"industry_code","industry_title"
"10","Total, all industries"
"101","Goods producing"
"102","Service providing"
"1011","Natural resources and mining"
"1012","Construction"
"1013","Manufacturing"
"1021","Trade, transportation, and utilities"
"1022","Information"
"1023","Financial activities"
"1024","Professional and business services"
"1025","Education and health services"
"1026","Leisure and hospitality"
"1027","Other services"
"1028","Public administration"
"1029","Unclassified"
"11","NAICS 11 Agriculture, forestry, fishing and hunting"
"111","NAICS 111 Crop production"
"1111","NAICS 1111 Oilseed and grain farming"
"11111","NAICS 11111 Soybean farming"
"111110","NAICS 111110 Soybean farming"
"11112","NAICS 11112 Oilseed, except soybean, farming"
"111120","NAICS 111120 Oilseed, except soybean, farming"
"11113","NAICS 11113 Dry pea and bean farming"
"111130","NAICS 111130 Dry pea and bean farming"
"11114","NAICS 11114 Wheat farming"
"111140","NAICS 111140 Wheat farming"
"11115","NAICS 11115 Corn farming"
"111150","NAICS 111150 Corn farming"
"11116","NAICS 11116 Rice farming"
"111160","NAICS 111160 Rice farming"
"11119","NAICS 11119 Other grain farming"
"111191","NAICS 111191 Oilseed and grain combination farming"
"111199","NAICS 111199 All other grain farming"
"1112","NAICS 1112 Vegetable and melon farming"
"11121","NAICS 11121 Vegetable and melon farming"
"111211","NAICS 111211 Potato farming"
"111219","NAICS 111219 Other vegetable and melon farming"
"1113","NAICS 1113 Fruit and tree nut farming"
"11131","NAICS 11131 Orange groves"
"111310","NAICS 111310 Orange groves"
"11132","NAICS 11132 Citrus, except orange, groves"
"111320","NAICS 111320 Citrus, except orange, groves"
"11133","NAICS 11133 Noncitrus fruit and tree nut farming"
"111331","NAICS 111331 Apple orchards"
"111332","NAICS 111332 Grape vineyards"
"111333","NAICS 111333 Strawberry farming"
"111334","NAICS 111334 Berry, except strawberry, farming"
"111335","NAICS 111335 Tree nut farming"
"111336","NAICS 111336 Fruit and tree nut combination farming"
"111339","NAICS 111339 Other noncitrus fruit farming"
"1114","NAICS 1114 Greenhouse and nursery production"
"11141","NAICS 11141 Food crops grown under cover"
"111411","NAICS 111411 Mushroom production"
"111419","NAICS 111419 Other food crops grown under cover"
"11142","NAICS 11142 Nursery and floriculture production"
"111421","NAICS 111421 Nursery and tree production"
"111422","NAICS 111422 Floriculture production"
"1119","NAICS 1119 Other crop farming"
"11191","NAICS 11191 Tobacco farming"
"111910","NAICS 111910 Tobacco farming"
"11192","NAICS 11192 Cotton farming"
"111920","NAICS 111920 Cotton farming"
"11193","NAICS 11193 Sugarcane farming"
"111930","NAICS 111930 Sugarcane farming"
"11194","NAICS 11194 Hay farming"
"111940","NAICS 111940 Hay farming"
"11199","NAICS 11199 All other crop farming"
"111991","NAICS 111991 Sugar beet farming"
"111992","NAICS 111992 Peanut farming"
"111998","NAICS 111998 All other miscellaneous crop farming"
"112","NAICS 112 Animal production and aquaculture"
"1121","NAICS 1121 Cattle ranching and farming"
"11211","NAICS 11211 Beef cattle ranching, farming, and feedlots"
"112111","NAICS 112111 Beef cattle ranching and farming"
"112112","NAICS 112112 Cattle feedlots"
"11212","NAICS 11212 Dairy cattle and milk production"
"112120","NAICS 112120 Dairy cattle and milk production"
"1122","NAICS 1122 Hog and pig farming"
"11221","NAICS 11221 Hog and pig farming"
"112210","NAICS 112210 Hog and pig farming"
"1123","NAICS 1123 Poultry and egg production"
"11231","NAICS 11231 Chicken egg production"
"112310","NAICS 112310 Chicken egg production"
"11232","NAICS 11232 Broilers and meat type chicken production"
"112320","NAICS 112320 Broilers and meat type chicken production"
"11233","NAICS 11233 Turkey production"
"112330","NAICS 112330 Turkey production"
"11234","NAICS 11234 Poultry hatcheries"
"112340","NAICS 112340 Poultry hatcheries"
"11239","NAICS 11239 Other poultry production"
"112390","NAICS 112390 Other poultry production"
"1124","NAICS 1124 Sheep and goat farming"
"11241","NAICS 11241 Sheep farming"
"112410","NAICS 112410 Sheep farming"
"11242","NAICS 11242 Goat farming"
"112420","NAICS 112420 Goat farming"
"1125","NAICS 1125 Aquaculture"
"11251","NAICS 11251 Aquaculture"
"112511","NAICS 112511 Finfish farming and fish hatcheries"
"112512","NAICS 112512 Shellfish farming"
"112519","NAICS 112519 Other aquaculture"
"1129","NAICS 1129 Other animal production"
"11291","NAICS 11291 Apiculture"
"112910","NAICS 112910 Apiculture"
"11292","NAICS 11292 Horses and other equine production"
"112920","NAICS 112920 Horses and other equine production"
"11293","NAICS 11293 Fur-bearing animal and rabbit production"
"112930","NAICS 112930 Fur-bearing animal and rabbit production"
"11299","NAICS 11299 All other animal production"
"112990","NAICS 112990 All other animal production"
"113","NAICS 113 Forestry and logging"
"1131","NAICS 1131 Timber tract operations"
"11311","NAICS 11311 Timber tract operations"
"113110","NAICS 113110 Timber tract operations"
"1132","NAICS 1132 Forest nursery and gathering forest products"
"11321","NAICS 11321 Forest nursery and gathering forest products"
"113210","NAICS 113210 Forest nursery and gathering forest products"
"1133","NAICS 1133 Logging"
"11331","NAICS 11331 Logging"
"113310","NAICS 113310 Logging"
"114","NAICS 114 Fishing, hunting and trapping"
"1141","NAICS 1141 Fishing"
"11411","NAICS 11411 Fishing"
"114111","NAICS 114111 Finfish fishing"
"114112","NAICS 114112 Shellfish fishing"
"114119","NAICS 114119 Other marine fishing"
"1142","NAICS 1142 Hunting and trapping"
"11421","NAICS 11421 Hunting and trapping"
"114210","NAICS 114210 Hunting and trapping"
"115","NAICS 115 Agriculture and forestry support activities"
"1151","NAICS 1151 Support activities for crop production"
"11511","NAICS 11511 Support activities for crop production"
"115111","NAICS 115111 Cotton ginning"
"115112","NAICS 115112 Soil preparation, planting, and cultivating"
"115113","NAICS 115113 Crop harvesting, primarily by machine"
"115114","NAICS 115114 Other postharvest crop activities"
"115115","NAICS 115115 Farm labor contractors and crew leaders"
"115116","NAICS 115116 Farm management services"
"1152","NAICS 1152 Support activities for animal production"
"11521","NAICS 11521 Support activities for animal production"
"115210","NAICS 115210 Support activities for animal production"
"1153","NAICS 1153 Support activities for forestry"
"11531","NAICS 11531 Support activities for forestry"
"115310","NAICS 115310 Support activities for forestry"
"21","NAICS 21 Mining, quarrying, and oil and gas extraction"
"211","NAICS 211 Oil and gas extraction"
"2111","NAICS 2111 Oil and gas extraction"
"21111","NAICS 21111 Oil and gas extraction"
"211111","NAICS 211111 Crude petroleum and natural gas extraction"
"211112","NAICS 211112 Natural gas liquid extraction"
"212","NAICS 212 Mining, except oil and gas"
"2121","NAICS 2121 Coal mining"
"21211","NAICS 21211 Coal mining"
"212111","NAICS 212111 Bituminous coal and lignite surface mining"
"212112","NAICS 212112 Bituminous coal underground mining"
"212113","NAICS 212113 Anthracite mining"
"2122","NAICS 2122 Metal ore mining"
"21221","NAICS 21221 Iron ore mining"
"212210","NAICS 212210 Iron ore mining"
"21222","NAICS 21222 Gold ore and silver ore mining"
"212221","NAICS 212221 Gold ore mining"
"212222","NAICS 212222 Silver ore mining"
"21223","NAICS 21223 Copper, nickel, lead, and zinc mining"
"212231","NAICS 212231 Lead ore and zinc ore mining"
"212234","NAICS 212234 Copper ore and nickel ore mining"
"21229","NAICS 21229 Other metal ore mining"
"212291","NAICS 212291 Uranium-radium-vanadium ore mining"
"212299","NAICS 212299 All other metal ore mining"
"2123","NAICS 2123 Nonmetallic mineral mining and quarrying"
"21231","NAICS 21231 Stone mining and quarrying"
"212311","NAICS 212311 Dimension stone mining and quarrying"
"212312","NAICS 212312 Crushed and broken limestone mining"
"212313","NAICS 212313 Crushed and broken granite mining"
"212319","NAICS 212319 Other crushed and broken stone mining"
"21232","NAICS 21232 Sand, gravel, clay, and refractory mining"
"212321","NAICS 212321 Construction sand and gravel mining"
"212322","NAICS 212322 Industrial sand mining"
"212324","NAICS 212324 Kaolin and ball clay mining"
"212325","NAICS 212325 Clay, ceramic, and refractory minerals mining"
"21239","NAICS 21239 Other nonmetallic mineral mining"
"212391","NAICS 212391 Potash, soda, and borate mineral mining"
"212392","NAICS 212392 Phosphate rock mining"
"212393","NAICS 212393 Other chemical and fertilizer mineral mining"
"212399","NAICS 212399 All other nonmetallic mineral mining"
"213","NAICS 213 Support activities for mining"
